,Loss
157,1.8506615201476961
158,1.396053774189204
159,1.7056922025978565
160,2.641355928359553
161,1.7715803398750722
162,2.3317161798026063
163,1.5279343005269765
164,2.3017898610793055
165,1.2774714864208363
166,2.2499463653424754
167,2.118955945968628
168,2.026221298991004
169,2.2199050113675183
170,2.0289783055210138
171,1.0893446178729391
172,1.2123263086788938
173,1.5889384793874342
174,0.9680147456470877
175,0.8611602931079687
176,0.5911400083830813
177,1.4723038818337955
178,2.0322784260148183
179,1.7092712884768844
180,1.2914936493463756
181,1.4893485863285605
182,1.782025798514951
183,1.6465320254676044
184,0.9614494719135109
185,1.5244167536497115
186,1.7686455273709725
187,1.3603685645386576
188,1.5154806096223183
189,0.6884302823687903
190,0.7795135008869692
191,1.6917459638239962
192,1.1583961350144818
193,1.461260427729576
194,0.9211390805663541
195,0.9483635486802087
196,0.8724017348140478
197,0.7724826073244913
198,1.2092619521776213
199,0.9505888513522223
200,0.45378242909500843
201,0.5967084909789264
202,0.37358221038011835
203,1.0058759979903698
204,0.8665189002407715
205,0.5846705131945782
206,0.9630821935832501
207,0.7106663499376736
208,0.3343799609476264
209,0.4143838888034225
210,0.5720623159213574
211,0.7730735921082669
212,0.5335389386862517
213,0.6065906143281609
214,0.9241641740431078
215,0.5307102063685306
216,0.5273740887092572
217,0.44863526048138735
218,0.4435213252159883
219,0.6888894887029892
220,0.4181167617556639
221,0.35743595571257175
222,0.5030617244192399
223,0.5409526848059614
224,0.5086530174827203
225,0.616465580498334
226,0.380028473585844
227,0.5700010767526692
228,0.44585004092405145
229,0.5615332521148957
230,0.20354490985046142
231,0.25032577288802715
232,0.5772606452926994
233,0.3880523676143639
234,0.2807110474463116
235,0.3606122339144349
236,0.3625096626288723
237,0.5881492909509689
238,0.3403815538622439
239,0.39024240917060526
240,0.22028976649744436
241,0.5171860661390383
242,0.40391282460768707
243,0.6138553284807131
244,0.4629324335139245
245,0.4359495318145491
246,0.4178471241379157
247,0.35112209876533595
248,0.45408290894702075
249,0.20016844780911924
250,0.4074729056330398
251,0.4694820539210923
252,0.40855748059693725
253,0.26822453062050045
254,0.33376200587372296
255,0.35630682073533537
256,0.36754712762194686
257,0.19718962268088944
258,0.2802481947815977
259,0.3508715433883481
260,0.2531857849637163
261,0.206722062935296
262,0.2652318836655468
263,0.30229956391267476
264,0.4069194315932691
265,0.16504760589450598
266,0.3099079261883162
267,0.19799322104081513
268,0.38745601852424444
269,0.15067194805014877
270,0.2513187094591558
271,0.45778448444325476
272,0.329753494594479
273,0.3339411674998701
274,0.12618444513063878
275,0.23168515865691006
276,0.2035371648700675
277,0.20170397188339848
278,0.20986748971045016
279,0.2467058805283159
280,0.36007730871242527
281,0.17922995949629694
282,0.23793446337804197
283,0.12396002499881434
284,0.2006707788677886
285,0.2103862831983861
286,0.19361042645250565
287,0.2128962286064052
288,0.5652607071388047
289,0.19589592761913083
290,0.25958701586350796
291,0.25125115369446577
292,0.274442252679728
293,0.45575949549856887
294,0.6975249771494418
295,0.20037004849000367
296,0.40176865879911927
297,0.5124468779089512
298,0.19889273543667513
299,0.16577472026692702
300,0.264554678046261
301,0.32403794550918974
